code,description
2,Backpain
3,Neck pain
5,Chest pain radiating to left upper limb
6,Chest pain with jaw pain
7,Chest pain with choking sensation
8,Retrosternal compressive pain
9,Retrosternal compressive pain radiating to left upper limb
10,AOE I
11,AOEII
12,AOEIII
13,DOE I
14,DOE II
15,DOE III
16,Angina equivalent
17,Syncope
18,Transient loss of consciousness
21,Abdominal distension
22,Ascites
25,Perspiration
26,Gabhraman
27,Uneasiness
28,PVD
30,Gangrene
31,Acute limb ischemia
32,Chronic limb ischemia
33,History of fall
35,haemorragic stroke
36,CVA
37,TIA
38,Congenital heart disease
39,Complex congenital heart disease
40,Cyanotic complex congenital heart disease
41,Cyanosis
42,PCI with stent
43,PCI without stent
45,Decreased urine out put
46,Chest pain typical
47,Chest pain atypical
48,Smoking
49,Tobacco
50,Alcohol
51,Loss of appetite
54,Vertigo
55,Throat pain
56,Oral ulcers
57,Peptic ulcer
58,Duodenal ulcers
59,p/sclerotherapy
60,p/banding
61,helitosis
63,Presyncope
65,Diabetes type 1
66,Diabetes type 2
67,Diabetes type 1 controlled
68,Diabetes type 1 uncontrolled
69,Diabetes type 2 uncontrolled
70,Diabetes type 2 controlled
71,Hypertension
72,Hypothyroidism
74,Hyperlipidemia
75,Hyper triglyceridemia
76,Diarrhea
7554,C/O HEADACHE
77,Vomiting
78,nausea
79,Constipation
80,Increase frequency of urination
83,Malena
85,Dysmenorrhea
86,Skin rashes
87,Hematuria
88,Leg cramps
89,Pain at angio site
90,Insomnia
94,P/ASD closure device
95,P/ASD closure – surgical
96,P/VSD closure device
97,P/vsd closure  surgical
98,P/CABG
99,P/PABG
100,P/PTA
101,P/Renal plasty
102,p/ permanent pacemaker implantation single chamber
103,p/ permanent pacemaker implantation dual chamber
104,p/ permanent pacemaker implantation single chamber MRI –C
105,p/ permanent pacemaker implantation dual chamber  MRI –C
106,P/AICD  single chamber
107,P/ AICD dual chamber
108,P/CRT P
109,P/CRT D
110,P/OP TOF
111,P/BD GLEN
112,RHD P/BMV
113,RHD P/OMC
114,P/AVR metallic
115,P/MVR  metallic
116,P/ AVR bioprosthetic
117,P/MVR bioprosthetic
118,P/DVR metallic
119,P/DVR bioprosthetic
120,P/TAVR
121,P/AAA repair
122,P/EVAR
123,P/EPS RFA
124,Tremors
125,Parkinsonism
126,P/ TKR
127,P/TURP
128,Pulmonary kochs
129,P/Pericardiocentesis
130,Survival of SCA
131,K/C/O LQT
132,Out of hospital cardiac arrest –revived
133,H/O vasovagal syncope
134,Brugada syndrome
135,Takatsubo disease
136,Stress ardiomyopathy
137,DCMP
138,Peripartum Cardiomyopathy
139,Hyperhomocystenemia
140,Postural fall
141,Postural syncope
142,Drug defaulter
143,H/O NSAID abuse
144,MCTD
145,SLE
146,Systemic sclerosis
147,H/O steroid abuse
148,Rheumatoid Arthritis
149,Fever with migrating joint pain
151,Osteoarhtrits
152,Yellowish discoloration of sclera
153,Jaundice
154,"Bluish discoloration of toe, lips"
155,Bluish discoloration on crying
156,H/O Pulmonary Embolism
157,Uilateral Leg edema
158,Adriamycin Cardiomyopathy
159,P/surgery for Ca breast (CT and RT completed)
160,P/surgery for Ca prostrate
161,Thalassemia Major
162,Thalassemia Minor
163,Thalassemia Trait
164,Aspirin Allergy
165,Mild LV dysfunction
166,Moderate LV dysfunction
167,Severe LV dysfunction
168,Hemodialysis
170,Recurrent fever
171,Rash
172,Chills and rigors
173,Bleeding Diathesis
174,Petechial Hemorrhages
175,Multiple nonspecific  vague complaints
176,Erectile dysfunction
177,Forgetfulness
178,Loss of Memory
179,Irritability
180,Excessive Sleepiness
181,Snoring
182,A/H/O FALL
183,ACUTE LOW BACK PAIN
184,ACUTE ONSET CERVICAL PAIN WITH SPASM
185,ACUTE ONSET DORSO-LUMBAR PAIN FOLLOWING VEHICULAR JERK
186,ACUTE ONSET DORSO-LUMBAR PAIN WITH SPASM
187,ACUTE ONSET LBP WITH SPASM
188,ANKLE PAIN
189,Ankle swelling
190,Avascular Necrosis
191,B/L Avascular Necrosis (AVN)
192,B/L CALF MUSCLE PAIN
193,B/l flat feet
194,B/L GROIN PAIN
195,B/l knee and feet pain
196,B/L knee pain
198,b/l SI jt pain
199,B/L TKR
200,bilateral trapeziues pain
201,Bilateral wrists pain and stiffness
202,Blunt chest trauma
203,Both heel pain
205,BOTH UPPER LIMB PAIN
206,burning feet
207,C/O Knee Pain
208,CERVICO-DORSAL PAIN
209,CERVICO-DORSAL PAIN WITH STIFFNESS
210,CHRONIC LOW BACK PAIN+
211,coccydynia
212,Complaints much improved
213,CRAMPS IN BOTH LL
214,CX pain with referred radicular pain to LT UL
215,CX pain with referred radicular pain to RT UL
216,DEPENDENT OEDEMA
217,DIFFCULTY IN WALKING
218,DIFFICULTY IN CLIMBING STAIRCASE
219,DIFFICULTY IN CROSS LEGGED SITTING
220,DIFFICULTY IN HOLDING OBJECTS
221,DIFFICULTY IN WALKING AND IMBALANCE
222,difficulty while walking
223,Discharge from
224,DIZZINESS +
225,Elbow pain
226,ELBOW SWEELING
227,F/U CASE
228,F/U CASE OF ACUTE DISCOGENIC PAIN
229,finger tip crush injury
230,Fleeting muscle pain
231,FOLEY'S CATHETER IN SITU.
232,For Evaluation of Fitness
233,Forearm swelling
234,Fracture
235,FRACTURE RADIAL STYLOID
237,GLUTEAL PAIN
238,H/O - HTN/DM/IHD
239,H/O - IHD+
240,H/O ACCIDENT
241,H/O ALLERGIC TO SULPHA
242,H/O CABG
243,H/O DEBRIDEMENT AND MULTIPLE ANTIBIOTICS
244,H/O DVT & PULMONARY EMBOLISM
245,H/O FEVER
246,H/O HIGH CREATININE AND KIDNEY DYSFUNCTION
247,H/O HIGH URIC ACID
248,H/O HYPERACIDITY+
249,H/O LONG TRAVELLING
250,H/O RTA
251,H/O SHOULDER DISLOCATION FOLLOWING CONVULSION
252,HIP PAIN
253,history of fall from bike
254,HISTORY OF TRUMA
255,Inability to bend knee
256,INCONTINENCE OF URINE
257,Knee instability
258,KNEE SWELLNG
259,LBP with referred radicular pain to both LL
260,LBP WITH SPASM
261,LBP with stifness
262,LEFT GREAT TOE PAIN
263,LEFT HEEL PAIN
